% 1. Title: Premiership Data 2013 Season With 3 Bokies And Match Rating

% 2. Source: http://www.football-data.co.uk/data.php



@relation Premiership2013
@attribute 'HomeTeam' { Arsenal, AstonVilla, Birmingham, Blackburn, Blackpool, Bolton, Bradford, Burnley, Charlton, Chelsea, Coventry, CrystalPalace, Derby, Everton, Fulham, Hull, Ipswich, Leeds, Leicester, Liverpool, ManCity, ManUnited, Middlesbrough, Newcastle, Norwich, NottinghamForest, Portsmouth, QPR, Reading, Southampton, Stoke, Sunderland, Swansea, Tottenham, WestBrom, WestHam, Wigan, Wolves }
@attribute 'AwayTeam' { Arsenal, AstonVilla, Birmingham, Blackburn, Blackpool, Bolton, Bradford, Burnley, Charlton, Chelsea, Coventry, CrystalPalace, Derby, Everton, Fulham, Hull, Ipswich, Leeds, Leicester, Liverpool, ManCity, ManUnited, Middlesbrough, Newcastle, Norwich, NottinghamForest, Portsmouth, QPR, Reading, Southampton, Stoke, Sunderland, Swansea, Tottenham, WestBrom, WestHam, Wigan, Wolves }
@attribute 'FullTimeHomeTeamGoals' numeric
@attribute 'FullTimeAwayTeamGoals' numeric
@attribute 'HalfTimeHomeTeamGoals' numeric
@attribute 'HalfTimeAwayTeamGoals' numeric
@attribute 'HomeTeamShots' numeric
@attribute 'AwayTeamShots' numeric
@attribute 'HomeTeamShotsOnTarget' numeric
@attribute 'AwayTeamShotsOnTarget' numeric
@attribute 'HomeTeamFoulsCommitted' numeric
@attribute 'AwayTeamFoulsCommitted' numeric
@attribute 'HomeTeamCorners' numeric
@attribute 'AwayTeamCorners' numeric
@attribute 'HomeTeamYellowCards' numeric
@attribute 'AwayTeamYellowCards' numeric
@attribute 'HomeTeamRedCards' numeric
@attribute 'AwayTeamRedCards' numeric
@attribute 'Bet365HomeWinOdds' numeric
@attribute 'Bet365DrawOdds' numeric
@attribute 'Bet365AwayWinOdds' numeric
@attribute 'LadbrooksHomeWinOdds' numeric
@attribute 'LadbrooksDrawOdds' numeric
@attribute 'LadbrooksAwayWinOdds' numeric
@attribute 'WilliamHillHomeWinOdds' numeric
@attribute 'WilliamHillDrawOdds' numeric
@attribute 'WilliamHillAwayWinOdds' numeric
@attribute 'MatchRating' numeric
@attribute 'HomeWinFairOdds' numeric
@attribute 'DrawFairOdds' numeric
@attribute 'AwayWinFairOdds' numeric
@attribute 'class' { D,H,A }
@data
Arsenal,Sunderland,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.4,4.5,8.5,1.4,4.5,8,1.44,4,8,?,?,?,?,D
Fulham,Norwich,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.8,3.6,4.5,1.8,3.5,4.5,1.85,3.3,4.5,?,?,?,?,H
Newcastle,Tottenham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.5,3.4,2.75,2.6,3.3,2.7,2.7,3,2.8,?,?,?,?,H
QPR,Swansea,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,3.4,3.8,2,3.4,3.75,2,3.3,3.8,?,?,?,?,A
Reading,Stoke,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.38,3.25,3.1,2.4,3.3,2.88,2.4,3.3,2.9,?,?,?,?,D
WestBrom,Liverpool,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.2,3.5,1.91,3.75,3.5,1.95,3.8,3.3,2,?,?,?,?,H
WestHam,AstonVilla,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.2,3.3,3.4,2.25,3.3,3.1,2.3,3.2,3.2,?,?,?,?,H
ManCity,Southampton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.17,7,17,1.17,7,15,1.2,6,15,?,?,?,?,H
Wigan,Chelsea,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6,3.75,1.62,6.5,3.8,1.53,5.5,3.6,1.67,?,?,?,?,A
Everton,ManUnited,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.33,3.6,1.83,4,3.6,1.85,4.33,3.3,1.91,?,?,?,?,H
Chelsea,Reading,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.25,5.5,13,1.25,6,11,1.29,5.5,10,?,?,?,?,H
AstonVilla,Everton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.9,3.4,2.4,2.75,3.3,2.5,2.88,3.2,2.5,?,?,?,?,A
Chelsea,Newcastle,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.5,4.33,6.5,1.5,4,6.5,1.5,4.2,6.5,?,?,?,?,H
ManUnited,Fulham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.29,5.5,11,?,?,?,1.35,4.8,9,?,?,?,?,H
Norwich,QPR,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.25,3.4,3.2,2.38,3.4,2.88,2.38,3.4,2.9,?,?,?,?,D
Southampton,Wigan,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.1,3.4,3.5,2.1,3.3,3.5,2.15,3.5,3.25,?,?,?,?,A
Swansea,WestHam,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.1,3.3,3.6,2.1,3.25,3.5,2.1,3.4,3.5,?,?,?,?,H
Tottenham,WestBrom,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.5,4.33,6.5,1.5,4,6.5,1.55,4,6,?,?,?,?,D
Liverpool,ManCity,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.1,3.4,2.3,3.1,3.3,2.25,2.9,3.4,2.38,?,?,?,?,D
Stoke,Arsenal,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.5,3.4,2.1,3.75,3.3,2,3.3,3.3,2.2,?,?,?,?,D
ManCity,QPR,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.18,7,15,1.2,6.5,13,1.2,7,11,?,?,?,?,H
Swansea,Sunderland,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.2,3.3,3.4,2.2,3.3,3.3,2.15,3.25,3.5,?,?,?,?,D
Tottenham,Norwich,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.36,5,8.5,1.4,4.5,8,1.4,5,7,?,?,?,?,D
WestBrom,Everton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3,3.3,2.38,2.88,3.3,2.4,2.9,3.4,2.38,?,?,?,?,H
WestHam,Fulham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.5,3.25,2.88,2.5,3.25,2.8,2.4,3.4,2.88,?,?,?,?,H
Wigan,Stoke,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.25,3.25,3.3,2.25,3.25,3.25,2.25,3.2,3.3,?,?,?,?,D
Liverpool,Arsenal,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,3.5,3.75,2.1,3.2,3.6,2.05,3.4,3.6,?,?,?,?,A
Newcastle,AstonVilla,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.62,3.75,6,1.62,3.75,5.5,1.67,3.8,5,?,?,?,?,D
Southampton,ManUnited,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6,4.2,1.53,6.5,4,1.53,5,4.2,1.6,?,?,?,?,A
Arsenal,Southampton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.36,5,8.5,1.36,4.5,9,1.4,4,10,?,?,?,?,H
AstonVilla,Swansea,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.38,3.25,3.1,2.25,3.3,3.1,2.4,3.1,3.1,?,?,?,?,H
Fulham,WestBrom,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.1,3.4,3.5,2,3.4,3.75,2.15,3.1,3.6,?,?,?,?,H
ManUnited,Wigan,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.25,6,12,1.22,6,12,1.29,5,12,?,?,?,?,H
Norwich,WestHam,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.38,3.4,3,2.3,3.4,3,2.5,3.1,2.9,?,?,?,?,D
QPR,Chelsea,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.5,3.5,1.83,4.5,3.5,1.8,4.5,3.1,1.91,?,?,?,?,D
Stoke,ManCity,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5,3.6,1.73,5,3.5,1.73,5.5,3.2,1.75,?,?,?,?,D
Sunderland,Liverpool,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.4,3.3,2.2,3.2,3.25,2.25,3.2,3.1,2.3,?,?,?,?,D
Reading,Tottenham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.75,3.5,2,3.6,3.5,2,3.75,3.1,2.1,?,?,?,?,A
Everton,Newcastle,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.73,3.6,5,1.85,3.4,4.33,1.8,3.2,5,?,?,?,?,D
Chelsea,Stoke,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.36,4.75,9,1.29,4.5,8,1.4,4,10,?,?,?,?,H
Southampton,AstonVilla,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.4,3.3,3,2.38,3.2,2.6,2.5,3,3,?,?,?,?,H
